kanji,eng,kunyomi,onyomi,ex1,ex2,ex3
元,origin,['もと'],['ゲン|ガン'],"['元気', 'げんき', 'health']","['地元', 'じもと', 'origin']",
近,near,['ちか.い'],['キン|コン'],"['近い', 'ちかい', 'near']","['近所', 'きんじょ', 'neighbourhood']","['近道', 'ちかみち', 'shortcut']"
考,think about,['かんが.える|かんが.え'],['コウ'],"['考える', 'かんがえる', 'to think']","['考え', 'かんがえ', 'thought']","['考え方', 'かんがえかた', 'way of thinking']"
画,picture,['えが.く|かく.する|かぎ.る|はかりごと|はか.る'],['ガ|カク|エ|カイ'],"['映画', 'えいが', 'movie']","['計画', 'けいかく', 'plan']","['区画', 'くかく', 'division']"
海,sea,['うみ'],['カイ'],"['海', 'うみ', 'sea']","['海外', 'かいがい', 'abroad']","['北海道', 'ほっかいどう', 'Hokkaido']"
早,early,['はや.い|はや|はや-|はや.まる|はや.める|さ-'],['ソウ|サッ'],"['早い', 'はやい', 'early']","['早口', 'はやくち', 'fast talk']",
売,{EMPTY},['う.る|う.れる'],['バイ'],,,
不,not,[],['フ|ブ'],"['不思議', 'ふしぎ', '']","['不安', 'ふあん', 'anxiety']","['不当', 'ふとう', 'injustive']"
世,world,['よ'],['セイ|セ|ソウ'],"['世界', 'せかい', 'world']","['世代', 'せだい', 'generation']","['世話', 'せわ', 'look after']"
空,{EMPTY},['そら|あ.く|あ.き|あ.ける|から|す.く|す.かす|むな.しい'],['クウ'],,,
知,know,['し.る|し.らせる'],['チ'],"['知る', 'しる', 'to know']","['知らせる', 'しらせる', 'to notice']","['人見知り', 'ひとみしり', 'shyness']"
院,institution,[],['イン'],"['病院', 'びょういん', 'hospital']","['学院', 'がくいん', 'institute']","['大学院', 'だいがくいん', 'graduate school']"
計,measure,['はか.る|はか.らう'],['ケイ'],"['計画', 'けいかく', 'plan']","['時計', 'とけい', 'clock']","['計る', 'はかる', 'to measure']"
足,{EMPTY},['あし|た.りる|た.る|た.す'],['ソク'],,,
界,world,[],['カイ'],"['世界', 'せかい', 'world']","['学界', 'がっかい', 'academic world']","['外界', 'がいかい', 'physical world']"
字,character,['あざ|あざな|-な'],['ジ'],"['漢字', 'かんじ', 'character']","['名字', 'みょうじ', 'surname']",
音,sound,['おと|ね'],['オン|イン|-ノン'],"['音楽', 'おんがく', 'music']","['音質', 'おんしつ', 'tone quality']","['足音', 'あしおと', 'sound of footsteps']"
